,Cyanobacteria,Chlorophyceae,Euglenophyceae,Diatomophyceae,Flagellata   ,Dinoflagellata ,Cryptophytes,picophytoplankton,Bosmina longirostris,Ceriodaphnia sp.,Diaphanosoma brachyurum ,Leptodora kindtii,Acartia longiremis,Acartia tonsa,Eurytemora affinis,Cyclops sp. ,Nauplii Cyclopoida,Nauplii Calanoida,Thermocyclops oithonoides,Eurytemora lacustris,Anureopsis fissa,Ascomorpha saltans,Asplanchna priodonta,Brachionus angularis,Brachionus calyciflorus calyciflorus,Brachionus calyciflorus f.amphiceros,Brachionus calyciflorus spinosus,Brachionus urceolaris,Brachionus calyciflorus f.anureiformis,Filinia longiseta,Keratella cochlearis cochlearis,Keratella cochlearis f.tecta,Keratella quadrata,Pedalia mira,Polyarthra vulgaris,Polyarthra platyptera,Pompholyx sp.,Synchaeta sp.,Trichocerca pusilla,Trichocerca similis
19.08.2008_5,6.97,6.11,0,3.04,1.48,0,0,2.37,0,0,24.4393,0,0,0,4.4381,18.35,0.1278,0.1216,0,0,0,0,0,0.0131,0,0,0,0,0,0.0378,1.1078,0.1385,0,0,0.0551,0.01,0,0,0.0069,0
19.08.2008_6,3.11,5.32,0.28,0.07,0.35,0,0,4.2,0,0,0.6407,0,0,0.0043,0.0365,0,0.0485,0.0032,0.0579,0.0135,0,0,0,0,0,0,0,0,0,0,0.0049,0.0025,0,0,0,0,0,0,0,0
19.08.2008_7,3.87,5.03,0,0.14,0.16,0,0,3.18,0,0,0.7653,0,0.0069,0.0251,0.4899,0,0.0077,0.0035,0,0,0,0,0,0,0,0,0,0,0,0.001,0.0049,0.0015,0,0,0,0,0,0,0,0
19.08.2008_16,4.14,3.51,0.1,0.65,0.06,0,0,5.33,0,0,0.9729,0,0,0.0021,0.0665,0.0254,0.0053,0.0025,0,0.3201,0,0,0,0,0,0,0,0,0,0.0002,0.0072,0.0019,0,0,0,0,0,0,0,0
19.08.2008_17,2.24,2.57,0.04,0.89,0.07,0,0,3.7,0,0,1.2555,0,0,0.0016,0.0588,0.0626,0.0041,0.0026,0,0.2179,0,0,0,0,0,0,0,0,0,0.0025,0.001,0.0018,0,0,0,0,0,0,0,0
19.08.2008_18,2.29,4.04,0,0.46,0.18,0,0,4.08,0,0,1.2788,0,0,0.0744,0.0002,0.0197,0.0013,0.001,0,0.0056,0,0,0,0,0,0,0,0,0,0.0007,0.0041,0.0014,0,0,0,0,0,0,0,0
19.08.2008_19,4.78,2.48,0.06,2.55,0.01,0,0,2.72,0,0,0.275,0,0,0,0.0314,0,0.0047,0.0072,0,0.0072,0,0,0,0.0004,0.0012,0,0,0,0,0.0007,0.0087,0.0012,0.0008,0,0,0,0,0,0,0
19.08.2008_20,5.53,2.31,0.01,0.25,0.06,0,0,3.56,0,0,0.8153,0,0,0.0073,0.0375,0.0584,0.0045,0.0025,0,0.1807,0,0,0,0,0,0,0,0,0,0.002,0.0071,0.0012,0,0,0,0,0,0,0,0
16.09.2008_3,7.02,5.72,0.02,1.06,0.42,0,0,3.37,0,1.7314,0,0,3.3497,0.3911,9.5913,0,0.021,0.0469,0,0,0,0,0,0,0,0,0,0,0,0,0.4222,0.0677,0,0,0,0.2952,0,0,0,0.0124
16.09.2008_4,8.97,8.91,0.05,0.93,0.99,0,0,4.72,0,7.7912,3.0357,0,2.7053,0,13.2423,1.8827,0.064,0.0213,0,0,0,0,0,0,0,0,0,0,0,0,0.3645,0.0328,0,0,0,0.0315,0,0,0,0.0127
16.09.2008_5,6.78,3.68,0,0.57,0,0.01,0,4,0,4.3284,5.3124,0,0.517,0,2.7024,2.8397,0.0299,0.0171,0,0,0,0,0,0,0,0,0,0,0,0,0.3507,0.0472,0,0,0,0.0984,0,0,0,0.0068
16.09.2008_6,7.1,7.27,0.04,1.84,0.08,0,0,3.37,0,0,0.922,0,0,0.0074,0.1347,0.0469,0.0042,0.0036,0,0.2519,0,0,0,0,0,0,0,0,0,0,0.0043,0.0005,0,0,0,0,0,0,0,0
16.09.2008_7,5.96,2.36,0.08,2.17,0.02,0,0,3.39,0,0,0.1228,0,0,0,0.227,0.0082,0.0007,0.0014,0,0.1397,0,0,0,0,0,0,0,0,0,0,0.0213,0.0032,0,0,0,0,0,0,0,0
16.09.2008_8,6.31,4.44,0.02,0.29,0.03,0,0,3.62,0,0,0.11,0,0,0,0.0817,0.0421,0.0209,0.0031,0,0.0498,0,0,0,0,0,0,0,0,0,0,0.0086,0.0015,0,0,0,0,0,0,0,0
23.04.2009_3,0.67,1.8,0.08,0.19,0.08,0,0,0.53,0,0,0,0,9.5395,0.7027,39.0016,1.0252,0.3284,0.6074,0,0,0,0,0,0,0.782,0,0,0.0057,0,0,0,0.004,0.0921,0,0,0,0,0,0,0
23.04.2009_4,0.72,1.48,0.82,0.85,0.11,0.03,0,0.36,0,0,0,0,2.6149,0,17.2671,12.1196,0.5101,0.1443,0,0,0,0,0,0.0487,0.8537,0,0,0,0,0,0,0,0.1871,0.0766,0.029,0.009,0,0,0,0
23.04.2009_5,0.52,2.1,0.05,0.8,0.02,0.03,0,0.42,0,0,0,0,2.8573,0,27.4746,19.2179,1.952,0.2208,0,0,0,0,0,0,0.4676,0,0,0,0,0,0,0.0073,0.8038,0.1123,0.0255,0,0.005,0,0,0
23.04.2009_6,0.44,1.94,0,0.34,0.05,0,0.31,0.62,0,0,0,0,3.6643,0,0.0745,0.0893,0.0708,0.0178,0,0.4187,0,0,0,0,0.0483,0,0,0,0,0,0,0.006,0.0106,0,0,0,0,0,0,0
23.04.2009_7,0.73,2.41,0,0.38,0.1,0,0.2,0.81,0,0,0,0,0,0,0.0283,0,0.4392,0.0095,0.0312,0,0,0,0,0,0.0888,0,0,0,0,0,0,0.0068,0.091,0,0,0,0,0,0,0
23.04.2009_8,0.57,1.21,0,0.09,0,0,0.02,0.72,0,0,0,0,0.425,0.0069,0.3578,0,0.7126,0.0085,0.1242,0,0,0,0,0,0.3391,0,0,0,0,0,0,0.0095,0.029,0,0,0,0,0,0,0
26.05.2009_3,0.49,3.17,0.22,0.31,0.08,0.01,0,1.12,0,0,0,0,0,0,0.245,0,0.0193,0.0394,0,0,0,0.0032,0,0,0,0,0,0,0,1.3221,0.0051,0,0.1065,0,0,0,0,0,0,0
26.05.2009_4,0.3,3.62,0.33,0.32,0.04,0.01,0,0.79,0,0,0,0,0.1643,0,0,1.14,0.0431,0.0075,0,0,0,0,0,0.0029,0,0,0,0,0,1.1215,0.0097,0,0.0741,0,0,0,0,0,0,0
26.05.2009_5,0.09,3.81,0.28,0.1,0.05,0,0,0.46,0,0,0,0,0,0,0,1.0985,0.0792,0.0075,0,0,0,0,0,0,0,0,0,0,0,1.5091,0.0184,0,0.1928,0,0,0,0,0,0,0
26.05.2009_6,0.98,5,0.04,1.4,0.52,0,0,2.8,0,0,0,0.0036,0,0,0,0,0.0257,0.0001,0,0,0,0,0,0,0,0,0,0,0,0.0717,0.0009,0.0008,0.0183,0,0,0,0,0,0,0
26.05.2009_7,0.59,3.43,0.07,1.38,0.6,0,0,2.56,0,0,0,0,0.0039,0,0,0.0106,0.0291,0,0,0,0,0,0,0,0.0009,0,0,0,0,0.0125,0.001,0.0001,0.0013,0,0,0,0,0,0,0
26.05.2009_8,0.62,2.62,0.25,0.42,0.05,0,0,2.93,0,0,0,0,0,0,0,0,0.0269,0.0002,0.0016,0,0,0,0,0,0,0,0,0,0,0.0226,0.0001,0,0.0007,0,0,0,0,0,0,0
15.06.2009_3,0.37,2.11,0.78,0.78,0.34,0.03,0,1.46,0,0,0,0,0.6437,0.3418,0,0,0.0202,0.0235,0,0,0,0.0183,0,0.0486,0,0,0,0,0,0.5139,0.0259,0,0,0,0.0271,0,0,0,0.0024,0
15.06.2009_4,0.35,4.71,0.59,0.93,1.26,0,0,1.54,0,0,0,0,0.4817,0,0,0,0.0274,0.0067,0,0,0,0.0149,0,0.0076,0,0,0,0,0,0.7671,0.0082,0,0,0,0,0,0,0,0.0008,0
15.06.2009_5,1.63,4.69,0.37,0.88,0.55,0,0,1.61,0,0,0,0,0,0,0,0.0778,0.0241,0,0,0,0,0,0.1763,0.1076,0.0134,0,0,0,0,1.541,0.0101,0.0028,0,0,0,0,0.0047,0,0,0
15.06.2009_6,1.4,4.05,0.14,2.74,0.7,0,0,3.68,0,0,0,0,0,0,0,0.0852,0,0.0005,0,0,0,0,0.0012,0,0,0,0,0,0,0.048,0.0008,0,0,0,0,0,0.0174,0,0,0
15.06.2009_7,2.06,4.49,0.06,5.33,0.07,0,0,2.09,0.0092,0,0,0,0,0,0,0.0091,0.0008,0,0,0,0,0,0,0.0117,0.001,0,0.0008,0,0,0.0272,0.0087,0.0112,0,0,0,0,0.006,0,0,0
15.06.2009_8,1.38,4.41,0.28,1.81,0.17,0.1,0,3.86,0,0,0,0,0,0.0246,0,0.0374,0.007,0.0006,0,0,0,0,0.0025,0,0.0002,0,0,0,0,0.0357,0.0009,0,0,0,0,0,0.0252,0,0,0
21.07.2009_3,2.47,5.35,2.39,1.39,0.14,0.07,0,1.39,0,0,0,0,1.63,1.1804,2.2372,0,0.0554,0.1552,0,0,0,0,0,0.096,0,0.0252,0,0,0.1035,0.1173,5.3111,0.0062,0.0068,0,0,0,0,0,0,0.0028
21.07.2009_4,1.45,3.64,0.05,1.56,0.16,0.06,0,0.58,0,0,0,0,5.4105,0,0,0,0.2925,0.0825,0,0,0,0,0,0.5516,0,0.1041,0,0,0.1035,0.1441,0.384,0.041,0.0483,0,0,0,0,0,0,0.0034
21.07.2009_5,2.26,4.36,0.1,1.35,0.74,0,0,1.16,0,0,0,0,1.8619,0,0,3.5759,0.3153,0.0597,0,0,0,0,0,0.03,0,0,0,0,0,0.0276,0.3029,0.0431,0,0,0.2477,0,0,0,0.0132,0.0049
21.07.2009_6,5.92,4.67,0.36,3.56,0.69,0.01,0.01,5.27,0,0,0,0,0,0.0566,0,0.0258,0.0491,0.0052,0.0301,0,0,0,0.0057,0.0132,0,0,0.0096,0,0.0026,0.0205,0.0282,0.0092,0.0017,0,0,0,0,0,0,0
21.07.2009_7,7.78,4.22,0,10.36,1.2,0.12,0.2,5.49,0,0,0,0,0,0.0219,0,0,0.0249,0.008,0,0,0,0,0,0.0032,0,0,0,0,0.0166,0.0173,0.0134,0.005,0,0,0,0,0,0,0,0
21.07.2009_8,4.48,3.2,0.003,3.43,0.2,0.26,0.18,4.8,0,0,0,0,0.0119,0.0027,0,0,0.0443,0.0156,0,0,0,0,0.0076,0.0266,0,0,0.0179,0,0.0119,0.0247,0.0245,0.0082,0.0014,0,0,0,0,0,0,0
12.08.2009_3,3.12,3.73,0.11,1.4,0.52,0.11,0,1.78,0,0,0.1832,0,1.7027,0.572,5.6501,0,0.0156,0.0426,0,0,0,0,0,0.0366,0,0,0,0,0,0.1947,1.1116,0.0533,0,0,0,0,0,0,0.0028,0
12.08.2009_5,6.07,3.4,0,0.46,0.86,0.06,0,1.21,0,0,0.4529,0,1.2388,0,0.05,0.5128,0.0138,0.0006,0,0,0,0,0,0.0896,0.0407,0.0203,0,0,0,0.1645,0.129,0.0158,0.0152,0,0,0.0415,0,0,0.0014,0
12.08.2009_6,9.74,6.76,0,3.95,0.48,0.32,0,5.26,0,0,0.0894,0,0,0,0.2316,0.0372,0.0166,0.0006,0,0.4287,0,0,0,0.0127,0,0,0,0,0,0.035,0.0797,0.0032,0,0,0,0,0,0.01,0,0
12.08.2009_7,3.23,1.9,0.05,2,0.41,0.03,0,2.23,0,0,0,0,0,0,0.5045,0.0377,0.0237,0.0005,0.0404,0,0,0,0.0053,0.0094,0,0,0,0,0,0.0634,0.0326,0.013,0.0004,0,0,0,0,0,0,0
12.08.2009_8,4.42,1.79,0,1.27,0.15,0.22,0,2.52,0,0,0.0005,0,0,0,0,0,0,0,0.0405,0.0168,0,0,0,0.0001,0,0,0,0,0,0.0195,0.0026,0.0077,0,0,0,0,0,0,0,0
23.09.2009_3,6.27,1.76,0.12,0.49,0.31,0.11,0.02,3.51,0.0734,0,0.0476,0,0.5052,0,2.6966,0,0.0094,0.0831,0,0,0.0002,0,0.053,0.0576,0,0.0329,0,0,0,0.1651,0.141,0.001,0.0049,0,0,0.0007,0.006,0.0045,0.0003,0.001
23.09.2009_4,4.74,0.62,0.49,1.65,0.79,0,0.23,3.36,0.1653,0,0,0,0.1243,0,0,0.8835,0.0512,0,0,0,0,0,0.1325,0.1083,0.0306,0.2261,0,0,0.0388,0.055,0.0569,0.0016,0.0066,0,0,0,0.0033,0.0241,0.0002,0.0001
23.09.2009_5,4.25,2.49,0.17,1.67,0.52,0,0.02,3.41,0.0256,0,0,0.0009,0.0584,0,0,0.5989,0.0549,0,0,0,0.0001,0,0.0833,0.0809,0.0038,0.1058,0,0,0.0324,0.2819,0.0941,0.0016,0.0242,0,0,0,0.0067,0.0318,0.0004,0.0009
23.09.2009_7,6.09,3.54,0.63,5.18,0.79,0.04,0.4,6.01,0,0,0,0,0,0,0.017,0.0187,0,0.0014,0,0,0,0,0.0007,0.0031,0.0127,0,0,0,0,0.0127,0.0188,0.0033,0.0018,0,0,0,0,0,0,0
23.09.2009_8,6.71,2.04,0.62,1.47,0.22,0.2,0.24,6.26,0,0,0.0112,0,0,0.069,0.0252,0.0225,0.0065,0,0,0,0,0,0,0.0055,0,0,0,0,0,0.0098,0.0087,0.0097,0,0,0,0,0,0,0,0
